name,x_img,y_img,x_world,y_world,z_world,lstsq_IO
WestRoofEdge,147,218,188.439,108.181,9.922,1
TopParasol,761,183,218.21,114.282,4.2,1
NorthWestWallCorner,351,122,196.444,115.668,3.113,1
SouthEastRoofEdge,1194,712,239.154,89.195,16.838,1
CloisterArcadeSouthWest,410,831,203.559,79.73,6.51,1
CloisterArcadeSouthEast,914,712,228.018,87.71,6.6,1
CloisterArcadeNorthWest,369,363,198.954,102.008,6.806,1
Centerfountain,643.297,448.815,213.389,99.861,3.105,1
RoofSW,279.81,772.111,197.088,82.114,11.829,1
MarkerGrass,480.414,283.153,204.051,107.854,2.716,1
SEGalleryEdge,913.362,584.817,227.627,94.012,6.485,1
SWRooftopEdge,146.828,796.054,191.975,80.93,13.79,1
