name x_img y_img x_world y_world z_world lstsq_IO
P1 848 145 419655.4625 6718367.856 1205.08997 1
P2 656 186 419762.5746 6718440.416 1210.5 1
P3 846 160 419728.5752 6718360.669 1206.71997 1
P7 404 152 419328.7125 6718469.457 1208.79004 1
P8 131 172 419327.596 6718487.768 1210.94995 1
P9 -131 205 419344.3437 6718534.215 1211.02002 0
P12 -697 48 419192.3856 6718450.476 1207.92004 0
P13 -580 205 419409.8834 6718718.999 1212.62 1
P14 -186 245 419597.905 6718720.338 1227.31995 1
P16 -616 195 419824.7815 6719272.047 1349.29004 1
P17 -891 391 419712.832 6719545.966 1376.18005 1
P20 791 -147 419194.9164 6718423.047 1208.67004 1
P21 333 126 419297.8594 6718454.756 1207.68005 1
P25 359 360 420306.2986 6718697.71 1342.06006 1
P26 368 362 420451.8926 6718723.614 1360.28994 1
P28 -167 430 420305.4054 6719188.978 1419.29004 1
P100 -546 440 420066.0239 6719479.273 1439.59998 1
