name,z_world,x_world,y_world,x_img_prev,y_img_prev,lstsq_IO,x_img,y_img
p1,1210.88,419343.856947135,6718533.90130455,832,383,1,-128,157
p2,1211.69995,419321.442092881,6718496.23270532,1005,387,1,45,153
p3,1210.13,419319.055056454,6718452.80028643,1363,415,1,403,125
p4,1209.97998,419323.305145702,6718442.96103872,1458,422,1,498,118
p5,1210.70996,419304.907499093,6718434.40263982,1520,425,1,560,115
p6,1208.46997,419193.765014039,6718419.18700201,1754,804,0,794,-264
p7,1206.71997,419727.296505869,6718360.75383299,1806,415,1,846,125
p8,1214.83997,419385.221205476,6718510.12767322,1094,363,1,134,177
p9,1212.44995,419419.023186106,6718714.87985196,409,374,1,-551,166
p10,1216.06995,419406.347443369,6718736.09544554,326,363,1,-634,177
p11,1216.16003,419374.026214156,6718740.84406216,200,368,1,-760,172
p12,1216.32996,419327.765497462,6718744.36722932,65,374,1,-895,166
p13,1379.89001,419721.28795172,6719557.91248218,67,181,1,-893,359
p14,1349.44995,419823.612980698,6719279.42909493,347,184,1,-613,356
p15,1226.85999,419594.147571403,6718720.16460271,776,326,1,-184,214
p16,1306.57996,419904.645825502,6719033.87966161,663,224,1,-297,316
p17,1282.65002,420011.566289913,6718720.77732743,1169,262,1,209,278
p18,1223.57996,420132.656013576,6718407.59840266,1679,372,1,719,168
p19,1210.44995,419762.493689437,6718439.00054479,1613,393,1,653,147
p20,1209.67004,419792.210838572,6718381.09805833,1746,400,1,786,140
p21,1439.02002,420064.873340937,6719479.40712686,413,130,1,-547,410
p22,1206.56006,419296.242015494,6718453.61722343,1295,466,1,335,74
p23,1206.67004,419222.687089636,6718429.26457905,1440,607,1,480,-67
p24,1206.59998,419251.347004441,6718440.03275514,1342,521,1,382,19
p25,1205.57996,419249.193369224,6718471.17763365,855,509,1,-105,31
p26,1207.40002,419211.504752935,6718421.7268558,1635,661,1,675,-121
p27,1203.98999,419312.453590229,6718596.83685376,381,441,1,-579,99
p28,1205.39001,419272.29870253,6718619.07951214,103,448,1,-857,92
p29,1204.31006,419290.407769531,6718612.28861202,215,443,1,-745,97
p30,1203.87,419259.799509545,6718625.77199343,15,458,1,-945,82
p31,1208.12,419187.953754594,6718460.32991935,56,631,0,-904,-91
p32,1207.25,419303.399056728,6718508.16147676,829,431,1,-131,109
p33,1206.56995,419220.038297216,6718436.21730296,1237,605,1,277,-65
p34,1206.33997,419251.040232572,6718458.45996135,1042,506,1,82,34
p35,1206.03003,419246.808222348,6718461.01885125,975,513,1,15,27
p36,1206.63,419214.822098569,6718440.64615087,1074,605,1,114,-65
p37,1207.33997,419273.282890954,6718420.56870702,1659,496,1,699,44
p38,1363.39001,420153.541017375,6719103.69389212,789,181,1,-171,359
p39,1380.65002,420373.211873611,6718969.84426645,1049,186,1,89,354
p40,1339.10999,420303.925008562,6718696.63355995,1321,216,1,361,324
p41,1267.38,419746.087009841,6718908.82458417,648,258,1,-312,282
p42,1388.27002,420177.850471448,6719213.33248255,702,164,1,-258,376
p43,1219.65002,419532.222865307,6718794.4618893,505,349,1,-455,191
p44,1327.18005,419966.840473344,6719138.92783769,605,209,1,-355,331
s8,1210.94995,419327.595959917,6718487.76769424,,,1,131,142
s28,1419.29004,420305.405394965,6719188.97835027,792,142,1,-168,398
