name x_img y_img x_world y_world z_world lstsq_IO
GCP_4 4948.572713 1364.57846 416664.9954 6716838.205 1403.763725 1
GCP_6 3096.60487 1658.849921 416592.3635 6716529.597 1364.906891 1
GCP_7bis 2773.945222 1704.955246 416649.2747 6716516.429 1360.948172 1
GCP_9 1636.590539 1663.017786 416717.7829 6716311.599 1366.380828 1
GCP_18 2534.427081 1291.844231 416352.7207 6716135.675 1433.782065 1
GCP_30 3747.259722 1322.189034 416265.888 6716430.212 1418.0605 1
GCP_34 3772.777816 1418.452037 416343.6961 6716487.539 1398.052839 1
GCP_35 3555.875013 1684.876334 416572.71 6716601.975 1362.525 1
GONE0 1607.366555 1156.720252 416548.8822 6716028.032 1470.182623 1
GONE1 859.782747 1127.300987 416688.4567 6715921.989 1482.017233 1
GONE2 641.749185 1418.857454 416829.0318 6716156.508 1413.196053 1
GONE3 1297.831522 1425.217195 416712.3771 6716183.678 1408.382375 1
GONE4 795.718869 1818.539905 416901.7369 6716405.587 1358.376369 1
GONE5 2630.104632 1895.901748 416817.0127 6716666.09 1355.893258 1
GONE6 2378.881839 1589.279416 416550.9855 6716309.388 1371.492806 1
GONE7 3205.921789 1280.21363 416119.9315 6716154.348 1436.992955 1
GONE8 4721.538144 1481.373277 416738.4622 6716846.155 1394.240695 1
GONE9 3220.546345 1842.259773 416746.4393 6716683.695 1356.566025 1
GONE10 4034.830259 1109.311708 415519.8371 6716062.861 1507.743244 1
GONE11 4526.893228 1043.61265 415496.4128 6716250.559 1521.887272 1
GONE12 1462.607835 816.4058595 415629.6475 6714330.581 1795.843114 1
GONE13 312.678336 996.2478603 416718.9388 6715605.24 1539.85684 1
GONE14 5151.529139 912.8349471 414228.6956 6716045.624 1664.935193 1
GONE15 4407.475311 798.897676 414579.6306 6715755.538 1729.079081 1
GONE16 1851.418304 1316.445962 416580.4225 6716176.225 1427.993368 1
GONE17 2172.742118 1298.44121 416413.716 6716068.955 1434.874422 1
G00 931.372287 1501.25935 416799.8829 6716215.561 1396.995963 1
G01 801.176364 1250.151315 416724.6607 6715973.471 1451.151642 1
G02 203.093408 754.053685 416709.869 6715476.495 1624.22017 1
G03 1025.401434 1693.37868 416838.4605 6716337.657 1369.267194 1
G04 298.609605 1524.56798 416926.7575 6716281.967 1397.554188 1
G05 1504.659448 1685.703215 416754.7418 6716333.542 1365.424288 1
G06 1426.838386 1186.633602 416598.2483 6716030.493 1462.617504 1
G07 2884.794686 1431.205747 416414.5776 6716313.842 1398.857751 1
G08 2948.796546 1266.758585 416223.8603 6716154.341 1439.937607 1
G09 2776.030746 1301.792768 416403.5021 6716271.239 1427.078013 1
G010 3826.209883 1250.24069 415782.4067 6716137.872 1449.472476 1
G011 3389.478776 1390.139863 416364.901 6716409.437 1405.130696 1
G012 4319.952643 1152.793094 415803.6598 6716327.457 1471.457238 1
G013 4244.398046 1034.843914 415512.675 6716147.745 1530.76279 1
G014 3922.95376 992.1716964 415026.2497 6715710.073 1601.310252 1
G015 2620.988643 1551.660069 416496.0176 6716318.944 1376.687347 1
G016 1527.517305 1410.49992 416663.6015 6716185.87 1410.150217 1
G017 5352.643454 1268.714892 415952.8821 6716664.804 1425.511029 1
G018 5185.227433 1116.581641 415696.7095 6716543.897 1474.665271 1
G019 5118.039848 1314.262475 416021.8118 6716635.435 1415.727216 1
G020 4339.73547 1313.609215 416147.8555 6716508.696 1418.427893 1
G021 3729.358187 1662.769124 416519.8486 6716595.885 1362.258453 1
G022 339.463992 1823.96302 416955.7091 6716391.538 1361.162297 1
G023 573.377911 1177.014499 416686.0739 6715718.418 1482.829631 1
