name x_img y_img x_world y_world z_world lstsq_IO
MM0 5130.4929 261.7023 415645.5101 6716514.1024 1727.1365 1
MM1 3046.9639 781.5827 416139.7137 6716118.5326 1575.3854 1
MM2 1910.3041 1359.6261 416438.1570 6715989.1664 1422.4215 1
MM3 4257.1910 2562.2630 415666.6735 6716229.8589 1008.5246 1
MM4 1132.0914 529.5568 416398.2625 6715474.6174 1718.8275 1
MM5 968.1974 2442.9324 416666.8934 6715892.5270 1166.2285 1
MM6 2285.1796 2436.7345 416511.6284 6716221.1046 1190.4876 1
MM7 387.03767 2422.2387 416893.7408 6716184.9626 1247.1546 1
MM8 1868.1206 2596.6214 416214.0188 6715601.8511 998.6264 1
MM9 622.1078 321.9347 416463.3606 6715172.6933 1841.0480 1
