x_img, y_img, x_world, y_world, name, z_world, lstsq_IO
386, 2371, 520651.686106804, 8678468.18696544, P1, 27.14952, 1
718, 2199, 520681.027309769, 8678543.00181215, P2, 26.34447, 1
1307, 1869, 520756.990744489, 8678748.91231836, P3, 23.56529, 1
1072, 2903, 520767.641287913, 8678232.15212808, P4, 37.35318, 1
1569, 2947, 520820.16308539, 8678195.81497992, P5, 42.67238, 1
2420, 3130, 520898.684738874, 8678121.78326141, P6, 50.01786, 1
420, 2743, 520684.212031086, 8678309.94286192, P7, 31.18613, 1
4292, 2222, 521188.024501912, 8678444.11882565, P8, 20.35567, 1
4759, 1500, 521504.017, 8679038.217 , P9, 9.935, 1
2149, 1256, 520924.6, 8679459.7 , P10, 11.468, 1
3018, 528, 521606.1, 8682130.6 , P11, 73.176, 1
